Date,Team,Season,Month,Week,Opponent,Visitor,City,Win,Distance,Route,Rest,TZ,shift,direction,Latitude,Longitude,B2B,b2b_2nd,b2b_1st,three_in_four,four_in_five,five_in_seven,flight_duration,game_id,matchup,score_diff,traveling_west,traveling_east,avg_score_diff,adjusted_score_diff,w,l,w_lpercent,ps_g,pa_g,opp_win_percent,win_percent_diff
2020-08-05,Boston Celtics,2019-20,Aug,32,Brooklyn Nets,FALSE,Orlando,TRUE,0,No Travel,0,America/New_York,0,-,28.5,-81.37,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,21901267,BOS vs. BKN,34,FALSE,FALSE,6.954545454545454,27.045454545454547,45,23,0.662,113.6,107.5,0.471,0.19100000000000006
2020-08-05,Brooklyn Nets,2019-20,Aug,32,Boston Celtics,TRUE,Orlando,FALSE,0,No Travel,0,America/New_York,0,-,28.5,-81.37,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,21901267,BKN @ BOS,-34,FALSE,FALSE,-9.222222222222221,-24.77777777777778,32,36,0.471,111.2,112.3,0.662,-0.19100000000000006
2020-08-05,Denver Nuggets,2019-20,Aug,32,San Antonio Spurs,TRUE,Orlando,TRUE,0,No Travel,1,America/New_York,0,-,28.5,-81.37,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,21901264,DEN @ SAS,6,FALSE,FALSE,-2.76,8.76,45,23,0.662,110.8,108.1,0.433,0.22900000000000004
2020-08-05,Los Angeles Lakers,2019-20,Aug,32,Oklahoma City Thunder,FALSE,Orlando,FALSE,0,No Travel,1,America/New_York,0,-,28.5,-81.37,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,21901265,LAL vs. OKC,-19,FALSE,FALSE,3.576923076923077,-22.576923076923077,51,16,0.761,113.4,106.8,0.627,0.134
2020-08-05,Memphis Grizzlies,2019-20,Aug,32,Utah Jazz,TRUE,Orlando,FALSE,0,No Travel,1,America/New_York,0,-,28.5,-81.37,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,21901262,MEM @ UTA,-9,FALSE,FALSE,1.8,-10.8,32,37,0.464,112.7,114.1,0.632,-0.16799999999999998
2020-08-05,Oklahoma City Thunder,2019-20,Aug,32,Los Angeles Lakers,TRUE,Orlando,TRUE,0,No Travel,1,America/New_York,0,-,28.5,-81.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21901265,OKC @ LAL,19,FALSE,FALSE,-5.153846153846154,24.153846153846153,42,25,0.627,110.7,108,0.761,-0.134
2020-08-05,Orlando Magic,2019-20,Aug,32,Toronto Raptors,FALSE,Orlando,FALSE,0,No Travel,0,America/New_York,0,-,28.5,-81.37,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,21901266,ORL vs. TOR,-10,FALSE,FALSE,-7.2,-2.8,32,37,0.464,107,107.8,0.731,-0.26699999999999996
2020-08-05,Philadelphia 76ers,2019-20,Aug,32,Washington Wizards,TRUE,Orlando,TRUE,0,No Travel,1,America/New_York,0,-,28.5,-81.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21901263,PHI @ WAS,9,FALSE,FALSE,-1.3,10.3,41,27,0.603,110,107.9,0.353,0.25
2020-08-05,San Antonio Spurs,2019-20,Aug,32,Denver Nuggets,FALSE,Orlando,FALSE,0,No Travel,1,America/New_York,0,-,28.5,-81.37,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,21901264,SAS vs. DEN,-6,FALSE,FALSE,4.6,-10.6,29,38,0.433,113.8,115.4,0.662,-0.22900000000000004
2020-08-05,Toronto Raptors,2019-20,Aug,32,Orlando Magic,TRUE,Orlando,TRUE,0,No Travel,1,America/New_York,0,-,28.5,-81.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21901266,TOR @ ORL,10,FALSE,FALSE,3.6470588235294117,6.352941176470589,49,18,0.731,112.7,106.1,0.464,0.26699999999999996
2020-08-05,Utah Jazz,2019-20,Aug,32,Memphis Grizzlies,FALSE,Orlando,TRUE,0,No Travel,1,America/New_York,0,-,28.5,-81.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21901262,UTA vs. MEM,9,FALSE,FALSE,1.75,7.25,43,25,0.632,110.9,108.1,0.464,0.16799999999999998
2020-08-05,Washington Wizards,2019-20,Aug,32,Philadelphia 76ers,FALSE,Orlando,FALSE,0,No Travel,1,America/New_York,0,-,28.5,-81.37,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,21901263,WAS vs. PHI,-9,FALSE,FALSE,-9,0,24,44,0.353,115,119.4,0.603,-0.25
2020-08-06,Dallas Mavericks,2019-20,Aug,32,Los Angeles Clippers,FALSE,Orlando,FALSE,0,No Travel,1,America/New_York,0,-,28.5,-81.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21901271,DAL vs. LAC,-15,FALSE,FALSE,-8.181818181818182,-6.818181818181818,41,30,0.577,116.7,111.2,0.676,-0.09900000000000009
2020-08-06,Denver Nuggets,2019-20,Aug,32,Portland Trail Blazers,FALSE,Orlando,FALSE,0,No Travel,0,America/New_York,0,-,28.5,-81.37,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,21901272,DEN vs. POR,-10,FALSE,FALSE,-2.76,-7.24,45,24,0.652,110.9,108.3,0.457,0.195
2020-08-06,Houston Rockets,2019-20,Aug,32,Los Angeles Lakers,FALSE,Orlando,TRUE,0,No Travel,1,America/New_York,0,-,28.5,-81.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21901273,HOU vs. LAL,16,FALSE,FALSE,-1.0588235294117647,17.058823529411764,43,25,0.632,118.4,114.6,0.75,-0.118
2020-08-06,Indiana Pacers,2019-20,Aug,32,Phoenix Suns,TRUE,Orlando,FALSE,0,No Travel,1,America/New_York,0,-,28.5,-81.37,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,21901270,IND @ PHX,-15,FALSE,FALSE,-5.888888888888889,-9.11111111111111,42,27,0.609,109.6,107.6,0.435,0.174
2020-08-06,Los Angeles Lakers,2019-20,Aug,32,Houston Rockets,TRUE,Orlando,FALSE,0,No Travel,0,America/New_York,0,-,28.5,-81.37,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,21901273,LAL @ HOU,-16,FALSE,FALSE,3.576923076923077,-19.576923076923077,51,17,0.75,113.2,106.9,0.632,0.118
